1.0079,Hydrogen
4.0026,Helium
6.941,Lithium
9.0122,Beryllium
10.811,Boron
12.0107,Carbon
14.0067,Nitrogen
15.9994,Oxygen
18.9984,Fluorine
20.1797,Neon
22.9897,Sodium
24.305,Magnesium
26.9815,Aluminum
28.0855,Silicon
30.9738,Phosphorus
32.065,Sulfur
35.453,Chlorine
39.0983,Potassium
39.948,Argon
40.078,Calcium
44.9559,Scandium
47.867,Titanium
50.9415,Vanadium
51.9961,Chromium
54.938,Manganese
55.845,Iron
58.6934,Nickel
58.9332,Cobalt
63.546,Copper
65.39,Zinc
69.723,Gallium
72.64,Germanium
74.9216,Arsenic
78.96,Selenium
79.904,Bromine
83.8,Krypton
85.4678,Rubidium
87.62,Strontium
88.9059,Yttrium
91.224,Zirconium
92.9064,Niobium
95.94,Molybdenum
98,Technetium
101.07,Ruthenium
102.9055,Rhodium
106.42,Palladium
107.8682,Silver
112.411,Cadmium
114.818,Indium
118.71,Tin
121.76,Antimony
126.9045,Iodine
127.6,Tellurium
131.293,Xenon
132.9055,Cesium
137.327,Barium
138.9055,Lanthanum
140.116,Cerium
140.9077,Praseodymium
144.24,Neodymium
145,Promethium
150.36,Samarium
151.964,Europium
157.25,Gadolinium
158.9253,Terbium
162.5,Dysprosium
164.9303,Holmium
167.259,Erbium
168.9342,Thulium
173.04,Ytterbium
174.967,Lutetium
178.49,Hafnium
180.9479,Tantalum
183.84,Tungsten
186.207,Rhenium
190.23,Osmium
192.217,Iridium
195.078,Platinum
196.9665,Gold
200.59,Mercury
204.3833,Thallium
207.2,Lead
208.9804,Bismuth
209,Polonium
210,Astatine
222,Radon
223,Francium
226,Radium
227,Actinium
231.0359,Protactinium
232.0381,Thorium
237,Neptunium
238.0289,Uranium
243,Americium
244,Plutonium
247,Curium
247,Berkelium
251,Californium
252,Einsteinium
257,Fermium
258,Mendelevium
259,Nobelium
261,Rutherfordium
262,Lawrencium
262,Dubnium
264,Bohrium
266,Seaborgium
268,Meitnerium
272,Roentgenium
277,Hassium
281,Darmstadtium
285,Ununbium
284,Ununtrium
289,Ununquadium
288,Ununpentium
292,Ununhexium
294,Ununoctium
